iter	Passed	Remaining
0	263	263254
1	282	140930
2	307	102311
3	328	81892
4	353	70292
5	377	62492
6	411	58420
7	444	55084
8	469	51714
9	504	49993
10	534	48018
11	555	45722
12	571	43384
13	596	42031
14	617	40539
15	634	39018
16	653	37776
17	670	36555
18	693	35823
19	716	35092
20	734	34261
21	758	33734
22	775	32961
23	794	32289
24	815	31819
25	833	31206
26	853	30742
27	866	30092
28	889	29767
29	911	29487
30	930	29083
31	952	28805
32	972	28503
33	990	28140
34	1016	28026
35	1035	27729
36	1056	27497
37	1088	27568
38	1123	27677
39	1152	27654
40	1183	27678
41	1223	27908
42	1271	28297
43	1322	28730
44	1396	29629
45	1472	30538
46	1544	31323
47	1597	31684
48	1678	32567
49	1731	32891
50	1793	33365
51	1838	33508
52	1894	33858
53	1939	33982
54	2006	34481
55	2053	34621
56	2092	34615
57	2158	35063
58	2202	35129
59	2242	35130
60	2286	35194
61	2323	35157
62	2373	35298
63	2433	35591
64	2488	35792
65	2532	35845
66	2568	35769
67	2598	35609
68	2628	35469
69	2668	35457
70	2717	35556
71	2766	35658
72	2797	35525
73	2827	35387
74	2865	35347
75	2895	35207
76	2926	35079
77	2960	34999
78	2994	34913
79	3026	34802
80	3061	34731
81	3093	34637
82	3124	34514
83	3154	34397
84	3189	34334
85	3225	34281
86	3287	34495
87	3319	34402
88	3351	34309
89	3385	34231
90	3409	34054
91	3440	33957
92	3463	33780
93	3487	33616
94	3515	33489
95	3540	33336
96	3570	33242
97	3604	33178
98	3627	33010
99	3649	32848
100	3672	32685
101	3698	32562
102	3718	32379
103	3746	32279
104	3774	32173
105	3807	32112
106	3838	32038
107	3864	31920
108	3886	31770
109	3920	31718
110	3946	31607
111	3967	31458
112	3994	31355
113	4019	31242
114	4040	31093
115	4062	30956
116	4083	30820
117	4117	30776
118	4139	30648
119	4161	30516
120	4188	30430
121	4216	30341
122	4248	30288
123	4276	30210
124	4298	30087
125	4328	30022
126	4356	29945
127	4378	29828
128	4410	29777
129	4438	29706
130	4459	29581
131	4486	29500
132	4519	29464
133	4546	29385
134	4566	29260
135	4587	29142
136	4612	29053
137	4640	28988
138	4667	28913
139	4687	28795
140	4712	28710
141	4735	28613
142	4762	28538
143	4783	28432
144	4805	28333
145	4826	28233
146	4849	28137
147	4877	28077
148	4901	27995
149	4924	27905
150	4946	27809
151	4976	27763
152	5004	27703
153	5027	27621
154	5046	27511
155	5075	27461
156	5094	27352
157	5119	27281
158	5140	27189
159	5170	27142
160	5189	27043
161	5218	26994
162	5245	26936
163	5272	26878
164	5302	26833
165	5329	26778
166	5362	26746
167	5388	26684
168	5413	26617
169	5441	26568
170	5466	26500
171	5487	26416
172	5510	26344
173	5538	26289
174	5564	26233
175	5587	26157
176	5607	26072
177	5636	26031
178	5663	25976
179	5685	25902
180	5709	25835
181	5732	25762
182	5759	25714
183	5780	25636
184	5800	25555
185	5826	25496
186	5851	25441
187	5882	25408
188	5909	25356
189	5930	25283
190	5958	25236
191	5982	25177
192	6007	25117
193	6029	25051
194	6058	25012
195	6087	24970
196	6110	24905
197	6129	24827
198	6161	24801
199	6202	24809
200	6228	24757
201	6258	24723
202	6292	24705
203	6323	24673
204	6361	24669
205	6399	24665
206	6446	24696
207	6478	24667
208	6504	24616
209	6531	24570
210	6562	24540
211	6596	24518
212	6627	24486
213	6652	24432
214	6679	24386
215	6708	24350
216	6732	24291
217	6754	24230
218	6777	24170
219	6807	24135
220	6835	24093
221	6857	24032
222	6876	23958
223	6902	23911
224	6931	23876
225	6955	23820
226	6974	23749
227	7001	23707
228	7025	23652
229	7045	23588
230	7067	23528
231	7089	23467
232	7120	23438
233	7149	23403
234	7171	23346
235	7195	23294
236	7223	23255
237	7245	23198
238	7271	23153
239	7297	23108
240	7330	23086
241	7360	23054
242	7392	23028
243	7425	23005
244	7458	22983
245	7492	22963
246	7525	22941
247	7557	22917
248	7588	22886
249	7617	22852
250	7649	22825
251	7674	22780
252	7699	22733
253	7721	22677
254	7740	22614
255	7762	22558
256	7787	22513
257	7812	22468
258	7847	22451
259	7866	22388
260	7892	22346
261	7914	22293
262	7945	22264
263	7964	22203
264	7991	22163
265	8013	22111
266	8041	22076
267	8062	22021
268	8092	21990
269	8118	21948
270	8143	21905
271	8179	21893
272	8207	21857
273	8227	21799
274	8252	21755
275	8280	21720
276	8302	21669
277	8321	21612
278	8347	21571
279	8372	21529
280	8392	21474
281	8411	21417
282	8432	21364
283	8460	21331
284	8478	21271
285	8503	21229
286	8527	21184
287	8553	21146
288	8574	21095
289	8595	21044
290	8613	20987
291	8637	20943
292	8659	20895
293	8683	20852
294	8705	20803
295	8727	20756
296	8750	20712
297	8771	20662
298	8797	20625
299	8824	20591
300	8846	20543
301	8869	20499
302	8893	20457
303	8915	20411
304	8934	20358
305	8953	20306
306	8983	20278
307	9002	20226
